datetime_created;src_address;src_netmask;dst_address;dst_netmask;ports;action
2021-01-28 01:28:03.213765+00:00;192.168.100.117;255.255.255.0;172.16.0.160;255.255.252.0;3389,21,443;forbid
2021-09-16 12:56:03.214770+00:00;172.16.2.89;255.255.252.0;10.0.0.27;255.255.254.0;443,21;permit
2022-08-05 08:55:03.216095+00:00;10.0.0.247;255.255.254.0;172.16.1.91;255.255.252.0;22,80;permit
2022-08-31 14:28:03.217175+00:00;172.16.1.208;255.255.252.0;10.0.0.214;255.255.254.0;21,443,3389,22;forbid
2022-05-27 20:52:03.217175+00:00;172.16.2.211;255.255.252.0;192.168.100.115;255.255.255.0;80,22;forbid
2021-06-06 12:10:03.218173+00:00;10.0.1.158;255.255.254.0;192.168.100.89;255.255.255.0;3389,22;permit
2021-11-14 02:45:03.218173+00:00;192.168.100.102;255.255.255.0;10.0.1.29;255.255.254.0;22;permit
2022-10-27 09:12:03.219177+00:00;10.0.1.208;255.255.254.0;192.168.100.212;255.255.255.0;21;permit
2020-11-24 16:05:03.219177+00:00;10.0.0.107;255.255.254.0;192.168.100.60;255.255.255.0;80,21,443;forbid
2022-08-21 05:51:03.220189+00:00;192.168.100.91;255.255.255.0;172.16.2.229;255.255.252.0;21,3389;permit
2022-10-11 07:40:03.221508+00:00;10.0.0.91;255.255.254.0;172.16.0.42;255.255.252.0;80;forbid
2021-10-04 22:13:03.222589+00:00;10.0.0.141;255.255.254.0;172.16.0.138;255.255.252.0;3389,443,21,80;permit
2022-08-23 02:47:03.222589+00:00;192.168.100.198;255.255.255.0;10.0.0.78;255.255.254.0;3389,443,22;permit
2021-01-28 04:28:03.223597+00:00;172.16.1.2;255.255.252.0;10.0.0.135;255.255.254.0;3389,80,21;forbid
2022-10-29 01:44:03.224591+00:00;192.168.100.62;255.255.255.0;172.16.2.60;255.255.252.0;22,3389,80,21;forbid
2022-05-10 23:56:03.225594+00:00;192.168.100.81;255.255.255.0;172.16.2.107;255.255.252.0;21,22,80;permit
2022-10-29 23:29:03.225594+00:00;192.168.100.138;255.255.255.0;10.0.0.4;255.255.254.0;80,443,3389,21;permit
2022-02-09 10:01:03.226942+00:00;10.0.1.201;255.255.254.0;172.16.3.125;255.255.252.0;443,21,80,3389;permit
2022-10-30 07:48:03.226942+00:00;172.16.0.146;255.255.252.0;10.0.0.124;255.255.254.0;3389,80,21;permit
2022-09-13 14:46:03.228033+00:00;192.168.100.245;255.255.255.0;10.0.0.241;255.255.254.0;3389,21;permit
2022-10-28 23:34:03.229042+00:00;172.16.0.206;255.255.252.0;10.0.0.59;255.255.254.0;80,3389,443,22;forbid
2022-10-27 21:47:03.230023+00:00;10.0.1.222;255.255.254.0;172.16.1.143;255.255.252.0;22,21,443;forbid
2022-08-20 13:42:03.230023+00:00;192.168.100.224;255.255.255.0;10.0.1.237;255.255.254.0;22,3389,80,443;forbid
2021-05-10 16:07:03.231030+00:00;192.168.100.63;255.255.255.0;172.16.2.208;255.255.252.0;80,21,3389;permit
2022-10-16 02:33:03.232030+00:00;10.0.0.127;255.255.254.0;192.168.100.167;255.255.255.0;443,80,22;forbid
2022-03-28 18:36:03.232279+00:00;10.0.1.217;255.255.254.0;172.16.0.202;255.255.252.0;21;permit
2021-09-01 07:58:03.233361+00:00;192.168.100.48;255.255.255.0;10.0.1.119;255.255.254.0;80,21,22,443;permit
2021-04-16 17:54:03.234288+00:00;172.16.0.185;255.255.252.0;192.168.100.181;255.255.255.0;22,443,21,80;forbid
2022-10-29 09:24:03.234288+00:00;172.16.3.123;255.255.252.0;192.168.100.108;255.255.255.0;80,22,443,3389;forbid
2022-10-25 21:12:03.235313+00:00;10.0.1.185;255.255.254.0;172.16.3.73;255.255.252.0;3389,21,22;permit
2021-02-05 16:13:03.236323+00:00;192.168.100.139;255.255.255.0;172.16.0.11;255.255.252.0;22,21,443,3389;permit
2021-07-25 12:41:03.236323+00:00;192.168.100.64;255.255.255.0;10.0.1.232;255.255.254.0;3389,80,443,21;permit
2022-10-29 04:33:03.237683+00:00;172.16.2.85;255.255.252.0;10.0.0.102;255.255.254.0;21,22,80;forbid
